Black,Blue,Brown,Green,Greenyellow,Magenta,Pink,Purple,Red,Tan,Turquoise,Yellow
,Bloc1s1,Itgb1bp1,,,,,,,,Arap2,
,Bloc1s2,Kat5,,,,,,,,Arc,
,Bloc1s5,Kcna2,,,,,,,,Arel1,
,Blvrb,Kcnab2,,,,,,,,Arf1,
,Bmi1,Kcnab3,,,,,,,,Arf2,
,Bmp1,Kcnc1,,,,,,,,Arf3,
,Bmp2k,Kcnc3,,,,,,,,Arf4,
,Bmpr1a,Kcnk1,,,,,,,,Arf5,
,Bmpr1b,Kcnk3,,,,,,,,Arf6,
,Bnip2,Kcnq2,,,,,,,,Arfgap1,
,Bnip3l-ps,Kcnt1,,,,,,,,Arfgap2,
,Bod1l,Kctd17,,,,,,,,Arfgef1,
,Bola1,Kidins220,,,,,,,,Arfgef3,
,Bola3,Kif1a,,,,,,,,Arfip2,
,Borcs5,Kif1b,,,,,,,,Arfrp1,
,Brd3,Kif3c,,,,,,,,Arglu1,
,Brd7,Kif5c,,,,,,,,Arhgap1,
,Brd8,Kifap3,,,,,,,,Arhgap12,
,Bre,Klc1,,,,,,,,Arhgap15,
,Brf1,Klc2,,,,,,,,Arhgap20,
,Bri3,Klhdc3,,,,,,,,Arhgap21,
,Brip1os,Laptm4b,,,,,,,,Arhgap26,
,Brpf1,Lmbrd1,,,,,,,,Arhgap32,
,Brsk1,Lpcat4,,,,,,,,Arhgap33,
,Btaf1,Lpgat1,,,,,,,,Arhgap39,
,Btbd11,Lrrc20,,,,,,,,Arhgef11,
,Btbd3,Lrrc49,,,,,,,,Arhgef17,
,C1ql1,Ly6e,,,,,,,,Arhgef18,
,C2cd5,Lynx1,,,,,,,,Arhgef2,
,C330007P06Rik,Lypd6b,,,,,,,,Arhgef25,
,C330018D20Rik,Madd,,,,,,,,Arhgef3,
,C530008M17Rik,Maged1,,,,,,,,Arhgef7,
,C87436,Map1a,,,,,,,,Arhgef9,
,Cab39l,Map1b,,,,,,,,Arid1b,
,Cables1,Map1lc3a,,,,,,,,Arih1,
,Cabp7,Map1lc3b,,,,,,,,Arih2,
,Cacng2,Map2k4,,,,,,,,Arl15,
,Cacng7,Map6,,,,,,,,Arl4a,
,Cactin,Map7d2,,,,,,,,Arl5b,
,Cadm1,Mapk10,,,,,,,,Arl6,
,Cald1,Mapk8ip2,,,,,,,,Arl6ip5,
,Capn10,Mapk8ip3,,,,,,,,Arl8a,
,Capn2,Mapk9,,,,,,,,Arl8b,
,Capza1,Mapre2,,,,,,,,Armc1,
,Carmil1,Mapre3,,,,,,,,Armc10,
,Carmil2,Mdh1,,,,,,,,Armc8,
,Carmil3,Mdh2,,,,,,,,Armcx1,
,Caskin2,Mef2a,,,,,,,,Armcx2,
,Casp9,Mesdc1,,,,,,,,Armcx3,
,Cav2,Mfn2,,,,,,,,Armcx4,
,Cbl,Mgat5,,,,,,,,Armcx5,
,Cbs,Mgst3,,,,,,,,Armt1,
,Cbx3,Minos1,,,,,,,,Arnt2,
,Cbx5,Mlf2,,,,,,,,Arntl,
,Cc2d1b,Mllt11,,,,,,,,Arpc1a,
,Ccar1,Mon1a,,,,,,,,Arpc2,
,Ccdc107,Mpc2,,,,,,,,Arpc3,
,Ccdc126,Msh2,,,,,,,,Arpc4,
,Ccdc137,Mtch1,,,,,,,,Arpc5,
,Ccdc174,Mvb12a,,,,,,,,Arpc5l,
,Ccdc186,Myl12b,,,,,,,,Arpp19,
,Ccdc28b,Napa,,,,,,,,Arpp21,
,Ccdc34,Napb,,,,,,,,Arrb1,
,Ccdc50,Napepld,,,,,,,,Arrb2,
,Ccdc59,Napg,,,,,,,,Arsb,
,Ccdc74a,Nars,,,,,,,,Arvcf,
,Ccdc82,Nat8l,,,,,,,,Arxes1,
,Ccdc88a,Ncdn,,,,,,,,Asap1,
,Ccdc90b,Nceh1,,,,,,,,Asap2,
,Ccdc91,Ndrg3,,,,,,,,Asb1,
,Ccm2,Ndrg4,,,,,,,,Asb6,
,Ccnd3,Ndufa10,,,,,,,,Asb8,
,Ccni,Ndufa11,,,,,,,,Ascc3,
,Ccp110,Ndufa12,,,,,,,,Ash1l,
,Ccs,Ndufa13,,,,,,,,Ash2l,
,Ccser2,Ndufa2,,,,,,,,Asic1,
,Cct6a,Ndufa3,,,,,,,,Asna1,
,Cd151,Ndufa4,,,,,,,,Asph,
,Cd164,Ndufa5,,,,,,,,Asphd1,
,Cd2ap,Ndufb10,,,,,,,,Asphd2,
,Cd302,Ndufb2,,,,,,,,Astn1,
,Cd320,Ndufb5,,,,,,,,Asxl1,
,Cdan1,Ndufb8,,,,,,,,Atad1,
,Cdc23,Ndufb9,,,,,,,,Atad3a,
,Cdc37l1,Ndufc1,,,,,,,,Atat1,
,Cdc42bpa,Ndufc2,,,,,,,,Atcay,
,Cdc42ep4,Ndufs2,,,,,,,,Atf2,
,Cdc73,Ndufs3,,,,,,,,Atf6,
,Cdh20,Ndufs6,,,,,,,,Atf6b,
,Cdh7,Ndufs7,,,,,,,,Atf7ip,
,Cdh8,Ndufs8,,,,,,,,Atg101,
,Cdk18,Ndufv1,,,,,,,,Atg12,
,Cdk2ap1,Ndufv3,,,,,,,,Atg13,
,Cdk2ap2,Necab3,,,,,,,,Atg14,
,Cdk4,Nedd8,,,,,,,,Atg2a,
,Cdk5rap3,Nefl,,,,,,,,Atg2b,
,Cdk8,Nefm,,,,,,,,Atg3,
,Cdkal1,Nfe2l1,,,,,,,,Atg4b,
,Cdkl2,Nisch,,,,,,,,Atg4c,
,Cdr2,Nme1,,,,,,,,Atg5,
,Cdr2l,Npdc1,,,,,,,,Atg7,
,Cds2,Nptn,,,,,,,,Atl1,
,Cdv3,Nrsn1,,,,,,,,Atl2,
,Cdyl,Nrxn1,,,,,,,,Atmin,
,Cebpzos,Nrxn3,,,,,,,,Atn1,
,Cenpx,Nsf,,,,,,,,Atox1,
,Cep104,Nsg1,,,,,,,,Atp13a2,
,Cep170,Nsmf,,,,,,,,Atp13a3,
,Cep290,Nt5c,,,,,,,,Atp1a1,
,Cep350,Nudt4,,,,,,,,Atp2b4,
,Cep57,Nxpe3,,,,,,,,Atp2c1,
,Cep63,Oaz2,,,,,,,,Atp5g1,
,Cep85l,Ociad1,,,,,,,,Atp5l,
,Cep97,Ogdh,,,,,,,,Atp5l-ps2,
,Cerk,Ogfrl1,,,,,,,,Atp5l2-ps,
,Cers4,Ola1,,,,,,,,Atp5sl,
,Cers5,Osbpl1a,,,,,,,,Atp6v0a2,
,Cfap97,Otub1,,,,,,,,Atp6v1a,
,Cfh,Oxct1,,,,,,,,Atp6v1g1,
,Cgref1,Oxr1,,,,,,,,Atp6v1h,
,Chadl,Pacsin1,,,,,,,,Atp8a1,
,Chchd7,Pafah1b1,,,,,,,,Atraid,
,Chd2,Pafah1b2,,,,,,,,Atrn,
,Chd3,Pak1,,,,,,,,Atrnl1,
,Chd7,Park7,,,,,,,,Atrx,
,Chd9,Pcbp1,,,,,,,,Atxn1,
,Chfr,Pcbp2,,,,,,,,Atxn7l3,
,Chic2,Pcmt1,,,,,,,,Atxn7l3b,
,Chid1,Pcsk2,,,,,,,,Auh,
,Chkb,Pdha1,,,,,,,,Aup1,
,Chml,Pdhb,,,,,,,,Aurkaip1,
,Chmp1a,Peak1,,,,,,,,Auts2,
,Chn2,Pebp1,,,,,,,,Avl9,
,Chpt1,Peg13,,,,,,,,Axin1,
,Chst2,Pfkm,,,,,,,,Azi2,
,Chtf8,Pfkp,,,,,,,,Azin1,
,Chuk,Pfn2,,,,,,,,B230217C12Rik,
,Cib1,Pgk1,,,,,,,,B230219D22Rik,
,Cib2,Pi4ka,,,,,,,,B230334C09Rik,
,Cir1,Pitpna,,,,,,,,B3galnt1,
,Ckap4,Pja2,,,,,,,,B3galt1,
,Ckap5,Pkm,,,,,,,,B3galt2,
,Clasp1,Plpp7,,,,,,,,B3galt6,
,Clasp2,Pmm1,,,,,,,,B3gat1,
,Clasrp,Pnkd,,,,,,,,B3gat2,
,Clcc1,Pnpo,,,,,,,,B4galnt1,
,Clcn3,Ppa1,,,,,,,,B4galnt4,
,Clcn5,Ppp1ca,,,,,,,,B4galt2,
,Cldn10,Ppp1cb,,,,,,,,B4galt3,
,Cldn5,Ppp2ca,,,,,,,,B4galt4,
,Cldnd1,Ppp2r1a,,,,,,,,B4galt6,
,Clip2,Prdx2,,,,,,,,B9d2,
,Clk1,Prdx5,,,,,,,,BC002163,
,Clk2,Prelid1,,,,,,,,BC003965,
,Clk4,Prep,,,,,,,,BC004004,
,Cln5,Prkaca,,,,,,,,BC005624,
,Cln8,Prkar1b,,,,,,,,BC029214,
,Clpb,Prkcz,,,,,,,,BC030336,
,Clpp,Prnp,,,,,,,,BC037034,
,Clpx,Prrt3,,,,,,,,Bace1,
,Cmbl,Psap,,,,,,,,Bad,
,Cmc1,Psma6,,,,,,,,Bag1,
,Cmip,Psmb4,,,,,,,,Bag4,
,Cmtm5,Psmb5,,,,,,,,Bag5,
,Cmtm6,Psmd8,,,,,,,,Bag6,
,Cnbp,Ptprm,,,,,,,,Baiap2,
,Cnep1r1,Ptprs,,,,,,,,Banf1,
,Cnih4,Pvalb,,,,,,,,Banp,
,Cnn3,RP23-123D6.12,,,,,,,,Bap1,
,Cnot6,RP23-261O3.5,,,,,,,,Basp1,
,Cnppd1,RP23-55G19.3,,,,,,,,Bax,
,Cnpy3,Rab1a,,,,,,,,Baz2a,
,Cnst,Rab2a,,,,,,,,Bbip1,
,Cntn3,Rab5a,,,,,,,,Bbs4,
,Cntnap5a,Rab6a,,,,,,,,Bcar1,
,Cog5,Rab6b,,,,,,,,Bcas2,
,Col25a1,Rab7,,,,,,,,Bcas3,
,Col4a1,Rabac1,,,,,,,,Bccip,
,Col4a2,Rad23b,,,,,,,,Bcl11a,
,Commd1,Ran,,,,,,,,Bcl11b,
,Commd7,Rangap1,,,,,,,,Bcl2l1,
,Commd9,Rasgef1b,,,,,,,,Bcl2l13,
,Comtd1,Rasgrf1,,,,,,,,Bcl2l2,
,Cops9,Rasgrp1,,,,,,,,Bcl6,
,Coq3,Reep1,,,,,,,,Bcl7a,
,Coq6,Reep2,,,,,,,,Bcl7b,
,Coro1b,Reep5,,,,,,,,Bcl9,
,Coro2a,Rell2,,,,,,,,Bcr,
,Cox11,Reps2,,,,,,,,Bdh1,
,Cox15,Rnf11,,,,,,,,Bdnf,
,Cox20,Rnf14,,,,,,,,Becn1,
,Cox7b,Rnf187,,,,,,,,Begain,
,Cox7c,Rnf208,,,,,,,,Bet1l,
,Cpd,Rnf220,,,,,,,,Bfar,
,Cpeb2,Rnf26,,,,,,,,Bhlhb9,
,Cpeb3,Rph3a,,,,,,,,Bhlhe22,
,Cpne2,Rtn3,,,,,,,,Bhlhe40,
,Cpne3,Rtn4,,,,,,,,Bicd1,
,Cpox,Rundc3a,,,,,,,,Bicdl1,
,Cpped1,Rusc1,,,,,,,,Birc6,
,Cpsf7,Sars,,,,,,,,Bivm,
,Cpt1a,Scamp5,,,,,,,,Bloc1s4,
,Cptp,Scg5,,,,,,,,Bloc1s6,
,Cramp1l,Scn1b,,,,,,,,Blvra,
,Crat,Scn2b,,,,,,,,Blzf1,
,Crebrf,Scn4b,,,,,,,,Bmp3,
,Creld2,Scn8a,,,,,,,,Bmpr2,
,Crim1,Scrn1,,,,,,,,Bmt2,
,Crip1,Scrt1,,,,,,,,Bmyc,
,Crlf2,Sdha,,,,,,,,Bnip1,
,Crot,Sdhb,,,,,,,,Bnip3,
,Crtc3,Sel1l,,,,,,,,Bod1,
,Cryz,Sel1l3,,,,,,,,Bola2,
,Csad,Sema7a,,,,,,,,Bop1,
,Csf1,Sept6,,,,,,,,Borcs6,
,Csk,Sept8,,,,,,,,Borcs7,
,Csmd3,Serbp1,,,,,,,,Borcs8,
,Csnk1g2,Serinc1,,,,,,,,Bphl,
,Cspp1,Serinc3,,,,,,,,Bpnt1,
,Csrp2bp,Sh3gl2,,,,,,,,Bptf,
,Cstb,Sik3,,,,,,,,Braf,
,Cstf2,Skp1a,,,,,,,,Brap,
,Cstf3,Slc12a5,,,,,,,,Brcc3,
,Ctbp1,Slc24a2,,,,,,,,Brd1,
,Ctbp2,Slc25a12,,,,,,,,Brd2,
,Ctdsp1,Slc25a3,,,,,,,,Brd4,
,Ctdsp2,Slc25a4,,,,,,,,Brd9,
,Ctdspl2,Slc25a46,,,,,,,,Brdt,
,Ctif,Slc25a5,,,,,,,,Brf2,
,Ctnna1,Slc2a6,,,,,,,,Bri3bp,
,Ctnnal1,Slc36a1,,,,,,,,Brinp1,
,Ctnnbl1,Slc45a1,,,,,,,,Brinp2,
,Ctnnd1,Slc5a5,,,,,,,,Brinp3,
,Ctnnd2,Slc6a17,,,,,,,,Brix1,
,Ctps,Slc6a7,,,,,,,,Brk1,
,Ctr9,Slc9a1,,,,,,,,Brms1,
,Ctso,Smim10l1,,,,,,,,Brms1l,
,Cttnbp2nl,Smim13,,,,,,,,Brox,
,Ctxn2,Smpd1,,,,,,,,Brpf3,
,Cuedc1,Snap47,,,,,,,,Brwd1,
,Cul2,Snap91,,,,,,,,Bscl2,
,Cul4b,Sncb,,,,,,,,Bsdc1,
,Cul7,Snrpn,,,,,,,,Bsn,
,Cux2,Snx10,,,,,,,,Btbd1,
,Cwf19l2,Sort1,,,,,,,,Btbd10,
,Cxadr,Spock1,,,,,,,,Btbd2,
,Cxcl14,Spock2,,,,,,,,Btbd6,
,Cyb561d2,Sppl3,,,,,,,,Btbd9,
,Cyb5a,Spsb3,,,,,,,,Btf3,
,Cyb5r1,Sqstm1,,,,,,,,Btf3l4,
,Cyfip1,Srpk2,,,,,,,,Btg1,
,Cyp20a1,St3gal5,,,,,,,,Btg3,
,Cyp2d22,St6galnac4,,,,,,,,Btrc,
,Cyp2j6,St8sia1,,,,,,,,Bub3,
,Cyth1,Stk25,,,,,,,,Bud31,
,D10Wsu102e,Stmn2,,,,,,,,Bysl,
,D3Ertd254e,Stmn3,,,,,,,,Bzw2,
,Daam1,Strbp,,,,,,,,C130071C03Rik,
,Daam2,Stub1,,,,,,,,C1d,
,Dab2ip,Stx1b,,,,,,,,C1galt1,
,Dbndd2,Stxbp1,,,,,,,,C1galt1c1,
,Dbt,Sucla2,,,,,,,,C1qbp,
,Dbx2,Sult4a1,,,,,,,,C1ql3,
,Dcaf10,Sv2a,,,,,,,,C2cd2l,
,Dcaf4,Swi5,,,,,,,,C2cd3,
,Dcn,Syn1,,,,,,,,C330006A16Rik,
,Dcp1b,Syndig1,,,,,,,,C77370,
,Dcun1d2,Syngr1,,,,,,,,Cab39,
,Dcun1d3,Syngr3,,,,,,,,Cabin1,
,Ddhd1,Synj1,,,,,,,,Cabp1,
,Ddit3,Syp,,,,,,,,Cacfd1,
,Ddit4,Syt13,,,,,,,,Cacna1a,
,Ddx10,Syt3,,,,,,,,Cacna1b,
,Ddx17,Syt4,,,,,,,,Cacna1c,
,Ddx20,Syt7,,,,,,,,Cacna1d,
,Ddx21,Tax1bp1,,,,,,,,Cacna1e,
,Ddx23,Tbcb,,,,,,,,Cacna1h,
,Ddx49,Tceal6,,,,,,,,Cacna1i,
,Ddx52,Tcf25,,,,,,,,Cacna2d1,
,Ddx55,Tcp1,,,,,,,,Cacna2d3,
,Ddx6,Tecr,,,,,,,,Cacnb1,
,Dedd2,Them6,,,,,,,,Cacnb2,
,Def8,Thy1,,,,,,,,Cacnb3,
,Dek,Tmem145,,,,,,,,Cacng3,
,Dennd1b,Tmem147,,,,,,,,Cacul1,
,Dennd4a,Tmem151a,,,,,,,,Cadm2,
,Dennd4b,Tmem240,,,,,,,,Cadps2,
,Dennd5a,Tmem25,,,,,,,,Calb1,
,Dennd6a,Tmem50b,,,,,,,,Calcoco1,
,Dennd6b,Tmem59l,,,,,,,,Calm1,
,Depdc5,Tmem9b,,,,,,,,Calm2,
,Deptor,Tmx2,,,,,,,,Caln1,
,Desi2,Tom1l2,,,,,,,,Calu,
,Dfna5,Tomm20,,,,,,,,Camk1,
,Dgat1,Tpi1,,,,,,,,Camk1d,
,Dgcr8,Tprgl,,,,,,,,Camk1g,
,Dgkb,Trim32,,,,,,,,Camk2a,
,Dgkq,Trim37,,,,,,,,Camk2b,
,Dhcr7,Tspan3,,,,,,,,Camk2g,
,Dhrs3,Tspyl1,,,,,,,,Camk2n1,
,Dhx16,Tstd3,,,,,,,,Camk4,
,Diablo,Ttc3,,,,,,,,Camkk1,
,Diaph2,Tuba4a,,,,,,,,Camkk2,
,Dicer1,Tubb2a,,,,,,,,Camkv,
,Dio2,Tubb2b,,,,,,,,Caml,
,Dip2a,Tubb3,,,,,,,,Camsap1,
,Dip2b,Tubb4b,,,,,,,,Camsap2,
,Disp3,Tubb4b-ps1,,,,,,,,Camsap3,
,Dixdc1,Tubb4b-ps2,,,,,,,,Camta2,
,Dkc1,Tubb5,,,,,,,,Cand1,
,Dleu7,Uba1,,,,,,,,Cant1,
,Dlg5,Ubb,,,,,,,,Cap1,
,Dmxl1,Ubc,,,,,,,,Cap2,
,Dnajb12,Ube2d3,,,,,,,,Capn15,
,Dnajc1,Ube2m,,,,,,,,Capn5,
,Dnajc12,Ubl5,,,,,,,,Capn7,
,Dnajc2,Uchl1,,,,,,,,Caprin1,
,Dnajc27,Uqcc2,,,,,,,,Capzb,
,Dnajc3,Uqcr10,,,,,,,,Car10,
,Dnajc4,Uqcrc1,,,,,,,,Car11,
,Dnal1,Uqcrc2,,,,,,,,Car12,
,Dnm2,Uqcrfs1,,,,,,,,Carm1,
,Dnmt3a,Uqcrq,,,,,,,,Cars,
,Dnttip2,Vamp2,,,,,,,,Casc3,
,Dock1,Vcp,,,,,,,,Casc4,
,Dock10,Vdac1,,,,,,,,Casd1,
,Dock7,Vdac2,,,,,,,,Cask,
,Dopey1,Vgf,,,,,,,,Caskin1,
,Dot1l,Vmp1,,,,,,,,Cbfa2t2,
,Dpagt1,Vps29,,,,,,,,Cbfa2t3,
,Dpf2,Vsnl1,,,,,,,,Cbfb,
,Dpm1,Wbp2,,,,,,,,Cbll1,
,Dpp7,Yars,,,,,,,,Cbr1,
,Dpp8,Yif1b,,,,,,,,Cbr4,
,Dpy19l1,Ypel3,,,,,,,,Cbx1,
,Dpy19l4,Ywhab,,,,,,,,Cbx4,
,Dpysl4,Ywhae,,,,,,,,Cbx6,
,Drap1,Ywhag,,,,,,,,Cbx7,
,Dscr3,Ywhah,,,,,,,,Cby1,
,Dsel,Ywhaq,,,,,,,,Cc2d1a,
,Dst,Zbtb7a,,,,,,,,Ccar2,
,Dstn,Zfp385b,,,,,,,,Ccdc106,
,Dtna,Zfp706,,,,,,,,Ccdc115,
,Dtx4,,,,,,,,,Ccdc12,
,Dusp11,,,,,,,,,Ccdc124,
,Dusp15,,,,,,,,,Ccdc127,
,Dusp28,,,,,,,,,Ccdc149,
,Dvl2,,,,,,,,,Ccdc167,
,Dync2h1,,,,,,,,,Ccdc177,
,Dynlt1a,,,,,,,,,Ccdc181,
,Dynlt1b,,,,,,,,,Ccdc22,
,Dyrk1a,,,,,,,,,Ccdc28a,
,Dyrk1b,,,,,,,,,Ccdc32,
,Dzip1,,,,,,,,,Ccdc43,
,E130309D02Rik,,,,,,,,,Ccdc47,
,E2f5,,,,,,,,,Ccdc6,
,E2f6,,,,,,,,,Ccdc71,
,Eapp,,,,,,,,,Ccdc71l,
,Ebag9,,,,,,,,,Ccdc85a,
,Ebna1bp2,,,,,,,,,Ccdc85b,
,Ece1,,,,,,,,,Ccdc9,
,Ece2,,,,,,,,,Ccdc92b,
,Echdc1,,,,,,,,,Ccdc97,
,Eci1,,,,,,,,,Cck,
,Eci2,,,,,,,,,Cckbr,
,Edem3,,,,,,,,,Ccl27a,
,Ednrb,,,,,,,,,Ccl27b,
,Edrf1,,,,,,,,,Ccnc,
,Eed,,,,,,,,,Ccnd1,
,Eef1d,,,,,,,,,Ccnd2,
,Eef1g,,,,,,,,,Ccndbp1,
,Eef2k,,,,,,,,,Ccng1,
,Efcab14,,,,,,,,,Ccng2,
,Efcab2,,,,,,,,,Ccnh,
,Efemp1,,,,,,,,,Ccnk,
,Efr3b,,,,,,,,,Ccnl1,
,Egfl7,,,,,,,,,Ccnl2,
,Egln1,,,,,,,,,Ccnt1,
,Eif1ad,,,,,,,,,Ccnt2,
,Eif1ax,,,,,,,,,Ccny,
,Eif2ak3,,,,,,,,,Ccpg1,
,Eif2d,,,,,,,,,Ccsap,
,Eif2s2,,,,,,,,,Cct2,
,Eif2s3y,,,,,,,,,Cct3,
,Eif3c,,,,,,,,,Cct4,
,Eif3f,,,,,,,,,Ccz1,
,Eif3j1,,,,,,,,,Cd2bp2,
,Eif3j2,,,,,,,,,Cd34,
,Eif3m,,,,,,,,,Cd3eap,
,Eif4a3,,,,,,,,,Cdc16,
,Eif4g2,,,,,,,,,Cdc26,
,Eif5,,,,,,,,,Cdc27,
,Elavl1,,,,,,,,,Cdc34,
,Elf2,,,,,,,,,Cdc37,
,Elfn1,,,,,,,,,Cdc40,
,Elk4,,,,,,,,,Cdc42bpb,
,Ell2,,,,,,,,,Cdc42se1,
,Elmod2,,,,,,,,,Cdc42se2,
,Elmod3,,,,,,,,,Cdc5l,
,Eloa,,,,,,,,,Cdh10,
,Elovl5,,,,,,,,,Cdh11,
,Elovl6,,,,,,,,,Cdh13,
,Emb,,,,,,,,,Cdh2,
,Emc8,,,,,,,,,Cdh22,
,Emd,,,,,,,,,Cdh4,
,Eml6,,,,,,,,,Cdipt,
,Enah,,,,,,,,,Cdk10,
,Endov,,,,,,,,,Cdk11b,
,Eng,,,,,,,,,Cdk13,
,Enpp4,,,,,,,,,Cdk17,
,Entpd5,,,,,,,,,Cdk19,
,Eogt,,,,,,,,,Cdk5r2,
,Epb41,,,,,,,,,Cdk7,
,Epb41l2,,,,,,,,,Cdk9,
,Epb41l4aos,,,,,,,,,Cdkn1a,
,Epb41l4b,,,,,,,,,Cdkn1b,
,Epc1,,,,,,,,,Cdkn2aip,
,Ephb1,,,,,,,,,Cdkn2aipnl,
,Ephx1,,,,,,,,,Cdkn2d,
,Eps15,,,,,,,,,Cdo1,
,Eps15l1,,,,,,,,,Cds1,
,Eps8,,,,,,,,,Cebpg,
,Erbb4,,,,,,,,,Cebpz,
,Erbin,,,,,,,,,Cecr6,
,Ercc2,,,,,,,,,Celf1,
,Ercc3,,,,,,,,,Celf2,
,Ercc5,,,,,,,,,Celf3,
,Ercc6,,,,,,,,,Celf4,
,Ercc6l2,,,,,,,,,Celf5,
,Erich3,,,,,,,,,Celsr2,
,Ermp1,,,,,,,,,Celsr3,
,Ero1lb,,,,,,,,,Cenpb,
,Erp44,,,,,,,,,Cenpv,
,Esyt2,,,,,,,,,Cep120,
,Etfa,,,,,,,,,Cep19,
,Etfb,,,,,,,,,Cep295,
,Etfdh,,,,,,,,,Cep83,
,Etfrf1,,,,,,,,,Cep83os,
,Etnk1,,,,,,,,,Cers6,
,Etv1,,,,,,,,,Cetn2,
,Etv3,,,,,,,,,Cetn3,
,Evi5,,,,,,,,,Cfap20,
,Evi5l,,,,,,,,,Cfap36,
,Exoc3,,,,,,,,,Cfdp1,
,Exoc6b,,,,,,,,,Cggbp1,
,Exosc4,,,,,,,,,Cgrrf1,
,Exosc5,,,,,,,,,Chac2,
,Exosc9,,,,,,,,,Champ1,
,Ext1,,,,,,,,,Chchd1,
,Ext2,,,,,,,,,Chchd3,
,Ezr,,,,,,,,,Chchd4,
,F3,,,,,,,,,Chchd6,
,F8a,,,,,,,,,Chd1,
,Faap20,,,,,,,,,Chd4,
,Fabp7,,,,,,,,,Chd5,
,Fah,,,,,,,,,Chd6,
,Fahd2a,,,,,,,,,Chd8,
,Fam102b,,,,,,,,,Cherp,
,Fam114a2,,,,,,,,,Chic1,
,Fam124a,,,,,,,,,Chka,
,Fam126a,,,,,,,,,Chl1,
,Fam126b,,,,,,,,,Chm,
,Fam129b,,,,,,,,,Chmp1b,
,Fam133b,,,,,,,,,Chmp2a,
,Fam134c,,,,,,,,,Chmp2b,
,Fam135a,,,,,,,,,Chmp3,
,Fam13a,,,,,,,,,Chmp5,
,Fam13c,,,,,,,,,Chmp6,
,Fam149a,,,,,,,,,Chmp7,
,Fam168a,,,,,,,,,Chn1,
,Fam172a,,,,,,,,,Chordc1,
,Fam181b,,,,,,,,,Chp1,
,Fam184a,,,,,,,,,Chpf,
,Fam189a1,,,,,,,,,Chpf2,
,Fam189a2,,,,,,,,,Chrac1,
,Fam189b,,,,,,,,,Chrm1,
,Fam193a,,,,,,,,,Chrm3,
,Fam193b,,,,,,,,,Chst1,
,Fam195a,,,,,,,,,Chst12,
,Fam199x,,,,,,,,,Chst15,
,Fam204a,,,,,,,,,Chtop,
,Fam208a,,,,,,,,,Churc1,
,Fam208b,,,,,,,,,Ciao1,
,Fam210b,,,,,,,,,Ciapin1,
,Fam212a,,,,,,,,,Cic,
,Fam214a,,,,,,,,,Cinp,
,Fam214b,,,,,,,,,Cipc,
,Fam222a,,,,,,,,,Cirbp,
,Fam234a,,,,,,,,,Cisd2,
,Fam3a,,,,,,,,,Cisd3,
,Fam53b,,,,,,,,,Cited2,
,Fam63a,,,,,,,,,Ciz1,
,Fam63b,,,,,,,,,Clcn2,
,Fam65b,,,,,,,,,Clcn7,
,Fam96a,,,,,,,,,Clint1,
,Fam98a,,,,,,,,,Clip1,
,Far1,,,,,,,,,Clip4,
,Farp1,,,,,,,,,Clk3,
,Farp2,,,,,,,,,Clmp,
,Fastkd2,,,,,,,,,Clns1a,
,Fat1,,,,,,,,,Clock,
,Fat3,,,,,,,,,Clptm1,
,Fbll1,,,,,,,,,Clptm1l,
,Fbrsl1,,,,,,,,,Clstn2,
,Fbxl14,,,,,,,,,Cluap1,
,Fbxl2,,,,,,,,,Cluh,
,Fbxl4,,,,,,,,,Clvs1,
,Fbxo2,,,,,,,,,Clvs2,
,Fbxo22,,,,,,,,,Cmc2,
,Fbxo32,,,,,,,,,Cmpk1,
,Fbxo7,,,,,,,,,Cmpk2,
,Fbxo8,,,,,,,,,Cmtm4,
,Fcho2,,,,,,,,,Cmtr1,
,Fchsd2,,,,,,,,,Cndp2,
,Fdx1,,,,,,,,,Cnih1,
,Fermt2,,,,,,,,,Cnih2,
,Fez1,,,,,,,,,Cnih3,
,Fgd4,,,,,,,,,Cnksr2,
,Fgf1,,,,,,,,,Cnnm1,
,Fgf11,,,,,,,,,Cnnm2,
,Fgfr1,,,,,,,,,Cnnm3,
,Fgfr1op,,,,,,,,,Cnot1,
,Ficd,,,,,,,,,Cnot10,
,Fig4,,,,,,,,,Cnot11,
,Fip1l1,,,,,,,,,Cnot2,
,Fis1,,,,,,,,,Cnot4,
,Fitm2,,,,,,,,,Cnot6l,
,Fiz1,,,,,,,,,Cnot7,
,Fkbp2,,,,,,,,,Cnot8,
,Fkbp9,,,,,,,,,Cnot9,
,Fktn,,,,,,,,,Cnpy2,
,Flii,,,,,,,,,Cnr1,
,Flna,,,,,,,,,Cnrip1,
,Flnb,,,,,,,,,Cntnap2,
,Flrt1,,,,,,,,,Cntnap4,
,Flrt3,,,,,,,,,Coa5,
,Flt1,,,,,,,,,Coa6,
,Flywch1,,,,,,,,,Coasy,
,Fmn2,,,,,,,,,Cobl,
,Fmnl2,,,,,,,,,Coch,
,Fn1,,,,,,,,,Cog1,
,Fn3krp,,,,,,,,,Cog2,
,Fnbp4,,,,,,,,,Cog6,
,Fndc3b,,,,,,,,,Cog7,
,Fnta,,,,,,,,,Cog8,
,Foxo1,,,,,,,,,Coil,
,Foxo3,,,,,,,,,Colgalt1,
,Foxred1,,,,,,,,,Commd10,
,Fra10ac1,,,,,,,,,Commd3,
,Frmd4a,,,,,,,,,Commd4,
,Frmd4b,,,,,,,,,Commd5,
